id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
66319,Specialized 54,wsbc602367103h,Specialized,54,,['Silver or Gray'],True,"Berkeley,94720",1451628000
65871,2012 Giant Escape 0,C41F7920,Giant,Escape 0,2012,['White'],True,"Oakland,94612",1451628000
65409,2016 Cannondale CAAD10,CM45626,Cannondale,CAAD10,2016,['Black'],True,"San Francisco,94116",1451628000
65350,2016 Specialized Vita Spt Disc ST,WSBC602084665K,Specialized,Vita Spt Disc ST,2016,['Silver or Gray'],True,Oakland,1451628000
65610,2013 Globe Daily 2 step,wsbc606089993h,Globe,Daily 2 step,2013,['Black'],True,"San Francisco,94102",1451628000
60960,Diamondback Outlook Trail XC DB78 step-through,U8D0C11026,Diamondback,Outlook Trail XC DB78 step-through,,['Purple'],True,"San Francisco,CA,94110",1451541600
65293,2013 Cannondale,absent,Cannondale,,2013,['Silver or Gray'],True,"Oakland,94609",1451455200
65291,2013 Soma Doublecross,TSFCKW0004,Soma,Doublecross,2013,['Black'],True,"San Francisco,94107",1451455200
65303,2015 Yuba cargo cargo bike (rear storage),absent,Yuba,cargo,2015,['Orange'],True,"San Francisco,94112",1451455200
65314,Unknown,absent,Unknown,,,['Blue'],True,"San Francisco,94109",1451455200
65282,2012 Trek 2.1 Apex H2 (Compact),WTU014C3381G,Trek,2.1 Apex H2 (Compact),2012,['Silver or Gray'],True,"San Francisco,94115",1451368800
65212,2007 Specialized 55 cm,P7HBF0111,Specialized,55 cm,2007,['Silver or Gray'],True,"San Francisco,94110",1451368800
65198,Giant,absent,Giant,,,"['Black', 'Blue']",True,"San Francisco,94117",1451350512
65203,Surly Cross-Check,M15032111,Surly,Cross-Check,,['Black'],True,"San Francisco,94103",1451282400
68225,Ascent,absent,Ascent,,,['White'],True,"San Francisco,94123",1451282400
65459,2016 Specialized Roubiax SL4 udi2,wsbc615012232k,Specialized,Roubiax SL4 udi2,2016,['Black'],True,"Walnut Creek,CA,94596",1451196000
65155,2015 Trek 2.1 alpha,absent,Trek,2.1 alpha ,2015,['Black'],True,"San Francisco,95104",1451196000
65250,2007 Trek 1000,absent,Trek,1000,2007,['Black'],True,"Oakland,94619",1451023200
65190,"2015 Specialized Sirrus (custom color, built as a cross bike)",absent,Specialized,"Sirrus (custom color, built as a cross bike)",2015,"['Black', 'Pink', 'Blue']",True,"San Francisco,94102",1451023200
65066,2015 Falconer Road,absent,Falconer,Road,2015,['Blue'],True,"San Francisco,CA,94102",1451023200
65054,2014 KHS Bicycles Flite 223,absent,KHS Bicycles,Flite 223,2014,['Silver or Gray'],True,"Oakland,94612",1450936800
65841,2011 Trek 7000,WTU143C2484G,Trek,7000,2011,['Silver or Gray'],True,"Berkeley,94704",1450850400
65500,2015 Trek A2 15 7.1 FX,SWTU092C1705J,Trek,A2 15 7.1 FX,2015,['Silver or Gray'],True,"San Francisco,94110",1450850400
