id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
65409,2016 Cannondale CAAD10,CM45626,Cannondale,CAAD10,2016,[u'Black'],True,"San Francisco,94116",2015-12-31
65610,2013 Globe Daily 2 step,wsbc606089993h,Globe,Daily 2 step,2013,[u'Black'],True,"San Francisco,94102",2015-12-31
66319,Specialized 54,wsbc602367103h,Specialized,54,,[u'Silver or Gray'],True,"Berkeley,94720",2015-12-31
65871,2012 Giant Escape 0,C41F7920,Giant,Escape 0,2012,[u'White'],True,"Oakland,94612",2015-12-31
65350,2016 Specialized Vita Spt Disc ST,WSBC602084665K,Specialized,Vita Spt Disc ST,2016,[u'Silver or Gray'],True,Oakland,2015-12-31
60960,Diamondback Outlook Trail XC DB78 step-through,U8D0C11026,Diamondback,Outlook Trail XC DB78 step-through,,[u'Purple'],True,"San Francisco,CA,94110",2015-12-30
65303,2015 Yuba cargo cargo bike (rear storage),absent,Yuba,cargo,2015,[u'Orange'],True,"San Francisco,94112",2015-12-29
65291,2013 Soma Doublecross,TSFCKW0004,Soma,Doublecross,2013,[u'Black'],True,"San Francisco,94107",2015-12-29
65293,2013 Cannondale,absent,Cannondale,,2013,[u'Silver or Gray'],True,"Oakland,94609",2015-12-29
65314,Unknown,absent,Unknown,,,[u'Blue'],True,"San Francisco,94109",2015-12-29
65282,2012 Trek 2.1 Apex H2 (Compact),WTU014C3381G,Trek,2.1 Apex H2 (Compact),2012,[u'Silver or Gray'],True,"San Francisco,94115",2015-12-28
65212,2007 Specialized 55 cm,P7HBF0111,Specialized,55 cm,2007,[u'Silver or Gray'],True,"San Francisco,94110",2015-12-28
65198,Giant,absent,Giant,,,"[u'Black', u'Blue']",True,"San Francisco,94117",2015-12-28
68225,Ascent,absent,Ascent,,,[u'White'],True,"San Francisco,94123",2015-12-27
65203,Surly Cross-Check,M15032111,Surly,Cross-Check,,[u'Black'],True,"San Francisco,94103",2015-12-27
65459,2016 Specialized Roubiax SL4 udi2,wsbc615012232k,Specialized,Roubiax SL4 udi2,2016,[u'Black'],True,"Walnut Creek,CA,94596",2015-12-26
65155,2015 Trek 2.1 alpha,absent,Trek,2.1 alpha ,2015,[u'Black'],True,"San Francisco,95104",2015-12-26
65066,2015 Falconer Road,absent,Falconer,Road,2015,[u'Blue'],True,"San Francisco,CA,94102",2015-12-24
65190,"2015 Specialized Sirrus (custom color, built as a cross bike)",absent,Specialized,"Sirrus (custom color, built as a cross bike)",2015,"[u'Black', u'Pink', u'Blue']",True,"San Francisco,94102",2015-12-24
65250,2007 Trek 1000,absent,Trek,1000,2007,[u'Black'],True,"Oakland,94619",2015-12-24
65054,2014 KHS Bicycles Flite 223,absent,KHS Bicycles,Flite 223,2014,[u'Silver or Gray'],True,"Oakland,94612",2015-12-23
65500,2015 Trek A2 15 7.1 FX,SWTU092C1705J,Trek,A2 15 7.1 FX,2015,[u'Silver or Gray'],True,"San Francisco,94110",2015-12-22
65841,2011 Trek 7000,WTU143C2484G,Trek,7000,2011,[u'Silver or Gray'],True,"Berkeley,94704",2015-12-22
64900,2012 SCOTT Metrix 40,absent,SCOTT,Metrix 40,2012,"[u'Black', u'Green']",True,"San Francisco,94110",2015-12-20
65000,1997 Specialized Hard Rock,PN602783,Specialized,Hard Rock,1997,[u'Green'],True,"Oakland,94602",2015-12-19
65686,2015 Diamondback Insight 1,DAU14H007433,Diamondback,Insight 1,2015,"[u'White', u'Blue']",True,"San Francisco,CA,94110",2015-12-19
64891,2014 Opus alegria 3.0,E213C013F2371,Opus,alegria 3.0,2014,"[u'Black', u'Blue', u'White']",True,"Market St.,94103",2015-12-19
64796,2008 Cannondale System SIx,S070873,Cannondale,System SIx,2008,[u'Black'],True,"San Francisco,94118",2015-12-19
64998,Kona Hula,aj30150376,Kona,Hula,,[u'Orange'],True,"Oakland,94602",2015-12-19
64892,2015 Giant Tempt 1,GC481710,Giant,Tempt 1,2015,"[u'Purple', u'Stickers tape or other cover-up']",True,"Fairfax,CA,94930",2015-12-19
64799,Shogun,absent,Shogun,,,[u'Silver or Gray'],True,"Oakland,94611",2015-12-19
64881,2014 Trek 7.3,wtu024c0061j,Trek,7.3,2014,[u'White'],True,"Oakland,94607",2015-12-19
68557,2007 Klein Bikes Attitude XV,WL75100173,Klein Bikes,Attitude XV,2007,[u'Blue'],True,"Emeryville,94608",2015-12-19
64749,2011 Lynskey R230,15195,Lynskey,R230,2011,[u'Silver or Gray'],True,"San Francisco,94114",2015-12-18
64777,2004 Cube LTD Road,absent,Cube,LTD Road,2004,[u'Silver or Gray'],True,"El Cerrito,94530",2015-12-18
69966,2016 Specialized tarmac,WSBC604116562K,Specialized,tarmac,2016,[u'Black'],True,"San Francisco,94133",2015-12-18
65077,2014 SCOTT Spark 720,absent,SCOTT,Spark 720,2014,[u'Black'],True,"San Francisco,94103",2015-12-17
33382,2013 Mission Bicycles VALEN-S,M13011077,Mission Bicycles,VALEN-S,2013,[u'Silver or Gray'],True,"San Francisco,CA,94114",2015-12-17
64662,Torelli Steel frame,o1062T,Torelli,Steel frame,,[u'Yellow or Gold'],True,"San Francisco,94102",2015-12-16
64683,2013 Jamis Satellite,U128U18614,Jamis,Satellite,2013,[u'Blue'],True,"San Francisco,94114",2015-12-16
64628,Quintana Roo Superform,absent,Quintana Roo,Superform,,[u'White'],True,"San Francisco,94117",2015-12-15
2295,2011 PUBLIC bikes D8,WE0000588,PUBLIC bikes,D8,2011,[u'Blue'],True,"Oakland,CA,94612",2015-12-15
64714,2011 Trek 7.3 FX,WTU143C0554F,Trek,7.3 FX,2011,[u'Red'],True,San Francisco,2015-12-15
64629,2005 Bianchi FG Lite,absent,Bianchi,FG Lite,2005,"[u'White', u'Teal']",True,"Oakland,94612",2015-12-14
64623,2012 Giant Revel 2 W (Black/Blue),C42L1922,Giant,Revel 2 W (Black/Blue),2012,[u'Blue'],True,"Alameda,94501",2015-12-14
64621,2014 Surly Cross-Check,M14070126,Surly,Cross-Check,2014,[u'Orange'],True,"Oakland,94608",2015-12-14
78467,Mini Cooper 80912298370,absent,Mini Cooper,80912298370,,[u'Green'],True,"San Francisco,CA,94103",2015-12-14
64575,2015 Specialized Diverge,WsBC602252945J,Specialized,Diverge,2015,[u'Black'],True,"San Francisco,CA,94107",2015-12-14
64618,2014 Giant Bella,674J5475,Giant,Bella,2014,"[u'White', u'Purple']",True,"San Francisco,94122",2015-12-14
64588,2013 Fuji Gran Fondo 2.1C,absent,Fuji,Gran Fondo 2.1C,2013,[u'Black'],True,"San Francisco,94102",2015-12-14
64587,2015 Trek Domane 58cm,WTU 273 T 0010 K,Trek,Domane 58cm,2015,[u'White'],True,"San Francisco,94105",2015-12-14
64383,2011 Felt Z100,absent,Felt,Z100,2011,[u'White'],True,"San Francisco,94104",2015-12-13
64384,2009 Giant TCR Alliance,0088-02883,Giant,TCR Alliance,2009,[u'Black'],True,"Berkeley,94703",2015-12-12
64473,2012 Jamis Aurora Elite,WE2H00263,Jamis,Aurora Elite,2012,[u'Black'],True,"San Francisco,94110",2015-12-12
64379,2015 Handsome Cycles Fredward SS,PHA12120191,Handsome Cycles,Fredward SS,2015,[u'Black'],True,"Oakland,94610",2015-12-12
64520,Cilo,absent,Cilo,,,"[u'Blue', u'White']",True,"Berkeley,94720",2015-12-12
64378,2015 Specialized Vita Sport,WSBC602069557K,Specialized,Vita Sport,2015,[u'Blue'],True,"San Francisco,CA,94110",2015-12-11
64557,2013 Giant Defy Composite 1,GF2C357,Giant,Defy Composite 1,2013,[u'White'],True,"San Francisco,94123",2015-12-11
64338,Sterling Bicycle Co.,absent,Sterling Bicycle Co.,,,[u'Blue'],True,"San Francisco,94110",2015-12-11
64370,2014 Cannondale Caad10 3 Ultegra,absent,Cannondale,Caad10 3 Ultegra,2014,[u'Silver or Gray'],True,"San Francisco,94103",2015-12-11
64348,2014 Kona DEW PLUS,AJ30136373,Kona,DEW PLUS,2014,[u'Brown'],True,"Oakland,94607",2015-12-11
64341,2011 Windsor,absent,Windsor,,2011,[u'White'],True,"San Francisco,CA,94102",2015-12-11
64316,1992 Nishiki Olympic,absent,Nishiki,Olympic,1992,"[u'Blue', u'White']",True,"San Francisco,94102",2015-12-10
64307,2013 Salsa Vaya 3,m12051081,Salsa,Vaya 3,2013,[u'Red'],True,"San Francisco,94131",2015-12-10
64268,Fuji Junior,75C62926,Fuji,Junior,,[u'Red'],True,"San Francisco,CA,94110-1515",2015-12-09
64266,2014 Giant Escape 3,CC3J8100,Giant,Escape 3,2014,[u'Black'],True,"San Francisco,94110",2015-12-09
64264,2013 Jamis Nova Sport,absent,Jamis,Nova Sport,2013,[u'Black'],True,"Oakland,94612",2015-12-09
64310,2000 Klein Bikes Quantum Race,WTU129069R,Klein Bikes,Quantum Race,2000,[u'Silver or Gray'],True,"San Francisco,94103",2015-12-08
64173,2015 Raleigh Misceo 3.0,32-00-310,Raleigh,Misceo 3.0,2015,[u'Black'],True,"San Francisco,CA,94110",2015-12-08
64240,1986 Peugeot PGN 10/PH 501?,B51130640,Peugeot,PGN 10/PH 501?,1986,"[u'Red', u'Yellow or Gold']",True,"San Francisco,94103",2015-12-08
64280,1975 Peugeot Reynolds 531,absent,Peugeot,Reynolds 531,1975,[u'Silver or Gray'],True,"San Francisco,CA,94110",2015-12-08
64332,2014 Surly Long Haul Trucker,M11091864,Surly,Long Haul Trucker,2014,[u'Black'],True,"San Francisco,94110",2015-12-07
64161,2002 Bianchi,absent,Bianchi,,2002,"[u'Teal', u'Yellow or Gold']",True,"San Francisco,94109",2015-12-07
64125,1986 Shogun,absent,Shogun,,1986,[u'Black'],True,"Oakland,94608",2015-12-07
64159,2007 Swobo OTIS,H7AZ53574,Swobo,OTIS,2007,[u'Black'],True,"San Francisco,CA,94103",2015-12-07
64149,1963 Schwinn Hollywood,J362547,Schwinn,Hollywood,1963,[u'Teal'],True,"Alameda,94501",2015-12-07
64156,2015 Fuji touring,5WBD035L1083L,Fuji,touring,2015,[u'Green'],True,"Berkeley,94703",2015-12-07
64155,2015 Strida,M141001605,Strida,,2015,[u'Black'],True,"San Francisco,94103",2015-12-07
64108,2009 Cervélo R3,absent,Cervélo,R3,2009,[u'White'],True,Walnut Creek,2015-12-07
64148,2015 Cannondale CAADX 22 Rival,CM40480,Cannondale,CAADX 22 Rival,2015,[u'Silver or Gray'],True,"San Francisco,94111",2015-12-07
64139,2015 Vessel 668,none,Vessel,668,2015,[u'Black'],True,"Oakland,94608",2015-12-07
64064,2000 Trek 5200 OCLV,WTUJ010772R TB1 0700,Trek,5200 OCLV,2000,[u'Blue'],True,"San Francisco,94102",2015-12-06
64084,1982 Fuji Road Bike,FJ117821,Fuji,Road Bike,1982,[u'Black'],True,San Francisco,2015-12-06
64067,Parkpre XComp SE,F4039442,Parkpre,XComp SE,,[u'Silver or Gray'],True,"Berkeley,94704",2015-12-06
